price,area_marla,bathroom,bedroom,location,city,area_sqft,price_per_marla
35000000.0,6.0,5,4,Riaz ul Jannah, Faisalabad,1633.5,5833333.333333333
17500000.0,5.0,3,3,Lower Canal Road, Faisalabad,1361.25,3500000.0
60000000.0,10.0,7,5,Canal Road, Faisalabad,2722.5,6000000.0
27500000.0,5.0,4,3,Eden Orchard, Faisalabad,1361.25,5500000.0
18500000.0,5.0,4,3,Citi Housing, Faisalabad,1361.25,3700000.0
25500000.0,5.0,4,3,Wapda City, Faisalabad,1361.25,5100000.0
47500000.0,10.0,5,4,Wapda City, Faisalabad,2722.5,4750000.0
17500000.0,5.0,4,3,Citi Housing, Faisalabad,1361.25,3500000.0
13500000.0,3.0,4,3,Canal Road, Faisalabad,816.75,4500000.0
27000000.0,7.0,5,4,Canal Road, Faisalabad,1905.75,3857142.8571428573
27000000.0,5.0,4,3,Eden Orchard, Faisalabad,1361.25,5400000.0
140000000.0,20.0,7,5,Canal Road, Faisalabad,5445.0,7000000.0
18000000.0,5.0,4,3,Citi Housing, Faisalabad,1361.25,3600000.0
42500000.0,7.0,,,Canal Road, Faisalabad,1905.75,6071428.571428572
42500000.0,7.0,4,4,Eden Valley, Faisalabad,1905.75,6071428.571428572
29000000.0,5.0,,,Eden Valley, Faisalabad,1361.25,5800000.0
22500000.0,4.0,,,Eden Valley, Faisalabad,1089.0,5625000.0
26000000.0,5.0,,,Eden Valley, Faisalabad,1361.25,5200000.0
37000000.0,7.0,,,Eden Valley, Faisalabad,1905.75,5285714.285714285
23000000.0,5.0,,,Eden Orchard, Faisalabad,1361.25,4600000.0
15000000.0,5.0,4,4,FDA City, Faisalabad,1361.25,3000000.0
20000000.0,5.0,,,Eden Valley, Faisalabad,1361.25,4000000.0
22000000.0,5.0,,,Canal Road, Faisalabad,1361.25,4400000.0
13000000.0,5.0,3,3,Canal Road, Faisalabad,1361.25,2600000.0
55000000.0,20.0,7,7,Susan Road, Faisalabad,5445.0,2750000.0
23000000.0,4.5,4,3,Eden Gardens, Faisalabad,1225.125,5111111.111111111
25000000.0,10.0,5,5,Satiana Road, Faisalabad,2722.5,2500000.0
52500000.0,9.0,6,5,Eden Valley, Faisalabad,2450.25,5833333.333333333
24500000.0,5.0,4,3,Eden Orchard, Faisalabad,1361.25,4900000.0
25000000.0,5.0,4,3,Eden Orchard, Faisalabad,1361.25,5000000.0
57500000.0,11.0,7,5,Eden Orchard, Faisalabad,2994.75,5227272.7272727275
16000000.0,5.0,4,3,Lower Canal Road, Faisalabad,1361.25,3200000.0
19000000.0,3.0,3,3,Eden Valley, Faisalabad,816.75,6333333.333333333
32500000.0,10.0,5,4,Citi Housing, Faisalabad,2722.5,3250000.0
45000000.0,5.0,2,4,Ghulam Mohammad Abad, Faisalabad,1361.25,9000000.0
35000000.0,11.0,3,3,Al Najaf Colony, Faisalabad,2994.75,3181818.1818181816
150000000.0,20.0,6,6,Canal Road, Faisalabad,5445.0,7500000.0
130000000.0,20.0,7,5,Canal Road, Faisalabad,5445.0,6500000.0
34500000.0,7.0,5,5,Satiana Road, Faisalabad,1905.75,4928571.428571428
27500000.0,5.0,5,3,Eden Orchard, Faisalabad,1361.25,5500000.0
42500000.0,7.0,5,5,Eden Valley, Faisalabad,1905.75,6071428.571428572
20000000.0,5.0,5,4,Eden Valley, Faisalabad,1361.25,4000000.0
18500000.0,5.0,5,4,Gulberg Valley, Faisalabad,1361.25,3700000.0
28000000.0,5.0,4,3,Canal Garden, Faisalabad,1361.25,5600000.0
80000000.0,13.0,5,4,Lahore - Sheikhupura - Faisalabad Road, Faisalabad,3539.25,6153846.153846154
40000000.0,7.0,4,5,D Ground, Faisalabad,1905.75,5714285.714285715
19500000.0,5.0,5,5,Satiana Road, Faisalabad,1361.25,3900000.0
45000000.0,7.0,,,Canal Road, Faisalabad,1905.75,6428571.428571428
18500000.0,3.2,4,3,Eden Valley, Faisalabad,871.2,5781250.0
25500000.0,5.0,4,3,Canal Road, Faisalabad,1361.25,5100000.0
14000000.0,2.5,3,3,Eden Valley, Faisalabad,680.625,5600000.0
29000000.0,5.0,4,4,Eden Valley, Faisalabad,1361.25,5800000.0
390000000.0,26.0,,,Canal Road, Faisalabad,7078.5,15000000.0
35000000.0,6.0,7,4,Canal Road, Faisalabad,1633.5,5833333.333333333
15000000.0,7.0,2,2,Lower Canal Road, Faisalabad,1905.75,2142857.1428571427
18000000.0,5.0,,,Madina Town, Faisalabad,1361.25,3600000.0
30000000.0,7.0,,,Madina Town, Faisalabad,1905.75,4285714.285714285
55000000.0,20.0,5,4,Judicial Employees Coop Housing Society, Faisalabad,5445.0,2750000.0
47500000.0,10.0,4,4,Wapda City, Faisalabad,2722.5,4750000.0
135000000.0,20.0,7,5,Wapda City, Faisalabad,5445.0,6750000.0
35000000.0,6.0,5,4,Eden Valley, Faisalabad,1633.5,5833333.333333333
35000000.0,6.5,4,4,Eden Valley, Faisalabad,1769.625,5384615.384615385
42500000.0,7.0,5,4,Eden Valley, Faisalabad,1905.75,6071428.571428572
25000000.0,4.5,3,3,Eden Gardens, Faisalabad,1225.125,5555555.555555556
180000000.0,24.0,6,8,Wapda City, Faisalabad,6534.0,7500000.0
20000000.0,5.0,4,3,Lower Canal Road, Faisalabad,1361.25,4000000.0
35000000.0,7.0,5,4,Canal Road, Faisalabad,1905.75,5000000.0
42500000.0,7.0,6,5,Eden Valley, Faisalabad,1905.75,6071428.571428572
90000000.0,18.0,7,7,Saeed Colony, Faisalabad,4900.5,5000000.0
11500000.0,2.5,,3,Ghalib City, Faisalabad,680.625,4600000.0
70000000.0,16.0,5,5,Canal Road, Faisalabad,4356.0,4375000.0
20000000.0,5.0,7,4,Saeed Colony, Faisalabad,1361.25,4000000.0
150000000.0,26.0,7,8,Canal Road, Faisalabad,7078.5,5769230.769230769
140000000.0,20.0,6,5,Wapda City, Faisalabad,5445.0,7000000.0
79500000.0,15.0,6,5,Wapda City, Faisalabad,4083.75,5300000.0
15500000.0,5.0,,,Citi Housing, Faisalabad,1361.25,3100000.0
17500000.0,5.0,4,3,Eden Gardens, Faisalabad,1361.25,3500000.0
250000000.0,40.0,6,5,Canal Expressway, Faisalabad,10890.0,6250000.0
38000000.0,10.0,4,4,Wapda City, Faisalabad,2722.5,3800000.0
300000000.0,46.0,7,6,Wapda City, Faisalabad,12523.5,6521739.130434782
185000000.0,24.0,5,5,Wapda City, Faisalabad,6534.0,7708333.333333333
26000000.0,5.0,4,3,Eden Valley, Faisalabad,1361.25,5200000.0
75000000.0,10.0,6,5,Eden Valley, Faisalabad,2722.5,7500000.0
24000000.0,5.0,4,3,Canal Road, Faisalabad,1361.25,4800000.0
27000000.0,9.0,5,4,Khayaban Colony 2, Faisalabad,2450.25,3000000.0
40000000.0,7.0,5,4,Canal Road, Faisalabad,1905.75,5714285.714285715
85000000.0,12.0,6,5,Canal Road, Faisalabad,3267.0,7083333.333333333
67500000.0,24.0,6,6,Shadman Colony, Faisalabad,6534.0,2812500.0
41000000.0,7.0,5,4,Eden Valley, Faisalabad,1905.75,5857142.857142857
41000000.0,7.0,6,5,Canal Road, Faisalabad,1905.75,5857142.857142857
32500000.0,6.0,4,3,Canal Road, Faisalabad,1633.5,5416666.666666667
50000000.0,14.0,6,6,Saeed Colony, Faisalabad,3811.5,3571428.5714285714
75000000.0,10.0,6,5,Canal Road, Faisalabad,2722.5,7500000.0
22500000.0,5.0,,,Madina Town, Faisalabad,1361.25,4500000.0
45000000.0,10.0,6,5,Wapda City, Faisalabad,2722.5,4500000.0
48000000.0,10.0,5,4,Wapda City, Faisalabad,2722.5,4800000.0
26000000.0,5.0,4,3,Wapda City, Faisalabad,1361.25,5200000.0
49500000.0,10.0,4,4,Wapda City, Faisalabad,2722.5,4950000.0
44000000.0,10.0,4,4,Wapda City, Faisalabad,2722.5,4400000.0
20000000.0,3.7,3,3,Canal Garden, Faisalabad,1007.325,5405405.405405405
24500000.0,5.5,3,3,Canal Expressway, Faisalabad,1497.375,4454545.454545454
45000000.0,11.5,5,5,Gulshan e Madina, Faisalabad,3130.875,3913043.4782608696
28500000.0,10.0,5,4,Citi Housing, Faisalabad,2722.5,2850000.0
70000000.0,20.0,4,4,Peoples Colony No 1, Faisalabad,5445.0,3500000.0
450000000.0,80.0,7,6,Canal Road, Faisalabad,21780.0,5625000.0
33000000.0,7.0,4,4,Eden Gardens, Faisalabad,1905.75,4714285.714285715
140000000.0,20.0,6,5,Abdullah Garden, Faisalabad,5445.0,7000000.0
110000000.0,15.0,6,5,Abdullah Garden, Faisalabad,4083.75,7333333.333333333
51500000.0,10.0,5,4,Canal Road, Faisalabad,2722.5,5150000.0
52500000.0,15.0,,,Wapda City, Faisalabad,4083.75,3500000.0
145000000.0,20.0,,,Canal Road, Faisalabad,5445.0,7250000.0
17000000.0,5.0,3,3,Lower Canal Road, Faisalabad,1361.25,3400000.0
45000000.0,7.0,5,4,Canal Road, Faisalabad,1905.75,6428571.428571428
35000000.0,10.0,5,4,Wapda City, Faisalabad,2722.5,3500000.0
17500000.0,6.0,4,3,Gulistan Colony No 1, Faisalabad,1633.5,2916666.6666666665
125000000.0,20.0,4,4,Peoples Colony No 1, Faisalabad,5445.0,6250000.0
49000000.0,10.0,6,6,Wapda City, Faisalabad,2722.5,4900000.0
25900000.0,5.0,5,5,Satiana Road, Faisalabad,1361.25,5180000.0
26500000.0,5.0,4,3,Eden Valley, Faisalabad,1361.25,5300000.0
41500000.0,20.0,5,5,Peoples Colony No 1, Faisalabad,5445.0,2075000.0
17500000.0,10.0,6,5,Citi Housing, Faisalabad,2722.5,1750000.0
260000000.0,200.0,6,6,Canal Road, Faisalabad,54450.0,1300000.0
24000000.0,8.0,6,5,Eden Gardens, Faisalabad,2178.0,3000000.0
55000000.0,9.0,,,Canal Road, Faisalabad,2450.25,6111111.111111111
36000000.0,6.0,6,5,Eden Valley, Faisalabad,1633.5,6000000.0
41000000.0,7.0,5,4,Canal Road, Faisalabad,1905.75,5857142.857142857
56000000.0,22.0,6,6,Khayaban Colony 2, Faisalabad,5989.5,2545454.5454545454
16000000.0,5.0,4,4,Gulberg Valley, Faisalabad,1361.25,3200000.0
30000000.0,7.0,6,5,Eden Valley, Faisalabad,1905.75,4285714.285714285
27000000.0,5.0,5,4,Eden Valley, Faisalabad,1361.25,5400000.0
16000000.0,4.0,3,3,Lower Canal Road, Faisalabad,1089.0,4000000.0
37500000.0,11.0,6,5,Khayaban Colony 2, Faisalabad,2994.75,3409090.909090909
33000000.0,10.0,6,5,Citi Housing, Faisalabad,2722.5,3300000.0
23000000.0,6.0,5,5,Khayaban Gardens, Faisalabad,1633.5,3833333.3333333335
35000000.0,7.0,5,4,Eden Orchard, Faisalabad,1905.75,5000000.0
45000000.0,6.0,7,4,Canal Road, Faisalabad,1633.5,7500000.0
19000000.0,4.0,4,3,Canal Road, Faisalabad,1089.0,4750000.0
47500000.0,10.0,6,5,Wapda City, Faisalabad,2722.5,4750000.0
22500000.0,5.0,4,4,Mian Zulfiqar Ali Shahid Road, Faisalabad,1361.25,4500000.0
44000000.0,20.0,6,7,Satiana Road, Faisalabad,5445.0,2200000.0
28000000.0,10.0,5,5,Citi Housing, Faisalabad,2722.5,2800000.0
34500000.0,7.0,5,4,Satiana Road, Faisalabad,1905.75,4928571.428571428
130000000.0,26.0,6,6,Canal Road, Faisalabad,7078.5,5000000.0
29000000.0,7.0,6,5,Eden Gardens, Faisalabad,1905.75,4142857.1428571427
25000000.0,5.0,4,3,Eden Gardens, Faisalabad,1361.25,5000000.0
32000000.0,7.0,5,4,Eden Gardens, Faisalabad,1905.75,4571428.571428572
43000000.0,11.0,6,5,Khayaban Gardens, Faisalabad,2994.75,3909090.909090909
53000000.0,11.0,6,5,Eden Orchard, Faisalabad,2994.75,4818181.818181818
37500000.0,10.0,5,5,Satiana Road, Faisalabad,2722.5,3750000.0
16000000.0,5.0,3,4,Sargodha Road, Faisalabad,1361.25,3200000.0
12000000.0,3.0,4,3,Kareem City, Faisalabad,816.75,4000000.0
12500000.0,4.0,4,4,Gulistan Colony No 1, Faisalabad,1089.0,3125000.0
23000000.0,5.0,4,3,Eden Valley, Faisalabad,1361.25,4600000.0
27500000.0,7.0,5,4,Muslim Town, Faisalabad,1905.75,3928571.4285714286
26000000.0,6.3,5,4,Khayaban Gardens, Faisalabad,1715.175,4126984.1269841273
85000000.0,12.0,5,5,Canal Road, Faisalabad,3267.0,7083333.333333333
80000000.0,12.0,6,5,Canal Road, Faisalabad,3267.0,6666666.666666667
60000000.0,20.0,6,6,Citi Housing, Faisalabad,5445.0,3000000.0
30000000.0,10.0,4,5,Citi Housing, Faisalabad,2722.5,3000000.0
24000000.0,5.0,,,Eden Orchard, Faisalabad,1361.25,4800000.0
24000000.0,5.0,4,3,Eden Valley, Faisalabad,1361.25,4800000.0
19500000.0,5.0,,,Citi Housing, Faisalabad,1361.25,3900000.0
250000000.0,36.0,5,5,Canal Road, Faisalabad,9801.0,6944444.444444444
280000000.0,252.0,7,11,Raza Town, Faisalabad,68607.0,1111111.111111111
25000000.0,8.0,4,3,Faisal Gardens, Faisalabad,2178.0,3125000.0
24500000.0,5.0,4,3,Eden Gardens, Faisalabad,1361.25,4900000.0
55000000.0,10.0,6,5,Eden Valley, Faisalabad,2722.5,5500000.0
16000000.0,4.0,4,3,Samundari Road, Faisalabad,1089.0,4000000.0
24800000.0,5.0,4,3,Eden Gardens, Faisalabad,1361.25,4960000.0
23500000.0,5.0,4,3,Eden Gardens, Faisalabad,1361.25,4700000.0
27200000.000000004,8.0,5,5,Gulbahar Colony, Faisalabad,2178.0,3400000.0000000005
17000000.0,5.0,4,3,Citi Housing, Faisalabad,1361.25,3400000.0
38000000.0,7.0,,4,Eden Valley, Faisalabad,1905.75,5428571.428571428
14000000.0,5.0,2,2,Canal Road, Faisalabad,1361.25,2800000.0
85000000.0,20.0,6,5,Khayaban Gardens, Faisalabad,5445.0,4250000.0
18000000.0,5.0,4,3,Canal Road, Faisalabad,1361.25,3600000.0
30000000.0,9.0,6,6,Khayaban Gardens, Faisalabad,2450.25,3333333.3333333335
340000000.0,60.0,7,6,Eden Valley, Faisalabad,16335.0,5666666.666666667
125000000.0,20.0,5,5,Paradise Valley, Faisalabad,5445.0,6250000.0
90000000.0,20.0,7,7,Canal Road, Faisalabad,5445.0,4500000.0
49000000.0,15.0,4,2,Wapda City, Faisalabad,4083.75,3266666.6666666665
20000000.0,5.0,5,4,Madina Town, Faisalabad,1361.25,4000000.0
155000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,7750000.0
105000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,5250000.0
28500000.0,5.0,4,3,DHA Defence, Lahore,1361.25,5700000.0
97500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4875000.0
18000000.0,5.0,4,4,Park View City, Lahore,1361.25,3600000.0
77500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3875000.0
91300000.00000001,20.0,6,5,DHA Defence, Lahore,5445.0,4565000.000000001
42000000.0,10.0,6,5,Wapda Town, Lahore,2722.5,4200000.0
135000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,6750000.0
45000000.0,10.0,6,5,PIA Housing Scheme, Lahore,2722.5,4500000.0
28000000.0,5.0,4,3,DHA Defence, Lahore,1361.25,5600000.0
26500000.0,5.0,4,3,DHA Defence, Lahore,1361.25,5300000.0
74700000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3735000.0
58500000.0,10.0,5,4,DHA Defence, Lahore,2722.5,5850000.0
71000000.0,10.0,5,4,DHA Defence, Lahore,2722.5,7100000.0
16500000.0,3.0,3,3,Farooq Colony, Lahore,816.75,5500000.0
44000000.0,8.0,5,4,DHA 11 Rahbar, Lahore,2178.0,5500000.0
320000000.0,40.0,7,8,DHA Defence, Lahore,10890.0,8000000.0
99000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4950000.0
117500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,5875000.0
78500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3925000.0
56000000.0,10.0,6,5,DHA Defence, Lahore,2722.5,5600000.0
24500000.0,5.0,4,4,Park View City, Lahore,1361.25,4900000.0
56500000.0,10.0,6,5,DHA Defence, Lahore,2722.5,5650000.0
19000000.0,5.0,4,4,Park View City, Lahore,1361.25,3800000.0
35000000.0,10.0,6,5,Bahria Town, Lahore,2722.5,3500000.0
74900000.0,10.0,7,5,Raiwind Road, Lahore,2722.5,7490000.0
18800000.0,5.0,4,4,Park View City, Lahore,1361.25,3760000.0
77900000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3895000.0
180000000.0,20.0,7,6,DHA Defence, Lahore,5445.0,9000000.0
23000000.0,5.0,4,3,DHA 11 Rahbar, Lahore,1361.25,4600000.0
33000000.0,5.0,3,3,DHA Defence, Lahore,1361.25,6600000.0
13700000.000000002,3.0,3,3,Raiwind Road, Lahore,816.75,4566666.666666667
27000000.0,5.0,4,3,DHA Defence, Lahore,1361.25,5400000.0
90000000.0,20.0,7,6,DHA Defence, Lahore,5445.0,4500000.0
240000000.0,40.0,6,5,Zaman Park, Lahore,10890.0,6000000.0
25500000.0,5.0,5,4,Johar Town, Lahore,1361.25,5100000.0
89000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4450000.0
25200000.0,5.0,4,3,DHA Defence, Lahore,1361.25,5040000.0
58500000.0,9.0,5,4,DHA Defence, Lahore,2450.25,6500000.0
58500000.0,10.0,6,5,DHA Defence, Lahore,2722.5,5850000.0
79000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3950000.0
62500000.0,12.0,5,4,DHA Defence, Lahore,3267.0,5208333.333333333
60000000.0,10.0,5,4,DHA Defence, Lahore,2722.5,6000000.0
57500000.0,10.0,5,4,DHA Defence, Lahore,2722.5,5750000.0
58000000.0,10.0,5,4,DHA Defence, Lahore,2722.5,5800000.0
195000000.0,20.0,7,6,DHA Defence, Lahore,5445.0,9750000.0
180000000.0,40.0,7,7,DHA Defence, Lahore,10890.0,4500000.0
23000000.0,8.5,6,5,Formanites Housing Scheme, Lahore,2314.125,2705882.3529411764
78300000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3915000.0
17000000.0,5.0,4,4,Park View City, Lahore,1361.25,3400000.0
99900000.0,20.0,6,6,DHA Defence, Lahore,5445.0,4995000.0
26300000.0,5.0,4,3,DHA Defence, Lahore,1361.25,5260000.0
95000000.0,20.0,6,5,Fazaia Housing Scheme, Lahore,5445.0,4750000.0
5500000.0,5.0,2,2,Raiwind Road, Lahore,1361.25,1100000.0
197500000.0,20.0,7,5,DHA Defence, Lahore,5445.0,9875000.0
150000000.0,20.0,7,5,DHA Defence, Lahore,5445.0,7500000.0
65000000.0,12.0,6,6,BOR - Board of Revenue Housing Society, Lahore,3267.0,5416666.666666667
80000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4000000.0
69500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3475000.0
68000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3400000.0
90000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4500000.0
61000000.0,10.0,6,6,DHA Defence, Lahore,2722.5,6100000.0
55000000.0,20.0,7,7,Nawab Town, Lahore,5445.0,2750000.0
79000000.0,20.0,5,4,DHA Defence, Lahore,5445.0,3950000.0
49500000.0,14.0,5,5,DHA Defence, Lahore,3811.5,3535714.285714286
149900000.0,20.0,6,5,DHA Defence, Lahore,5445.0,7495000.0
66500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3325000.0
7500000.0,2.0,2,2,Qadri Colony, Lahore,544.5,3750000.0
50000000.0,10.0,5,4,DHA Defence, Lahore,2722.5,5000000.0
100000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,5000000.0
22500000.0,5.0,5,4,Park View City, Lahore,1361.25,4500000.0
110000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,5500000.0
82500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4125000.0
94000000.0,20.0,6,6,DHA Defence, Lahore,5445.0,4700000.0
94000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4700000.0
42500000.0,10.0,6,5,Paragon City, Lahore,2722.5,4250000.0
21000000.0,5.0,4,4,Park View City, Lahore,1361.25,4200000.0
27500000.0,5.0,4,3,DHA Defence, Lahore,1361.25,5500000.0
18500000.0,4.0,4,3,Paragon City, Lahore,1089.0,4625000.0
27000000.0,5.0,4,3,Paragon City, Lahore,1361.25,5400000.0
22000000.0,5.0,4,4,Park View City, Lahore,1361.25,4400000.0
25000000.0,5.0,4,3,DHA 11 Rahbar, Lahore,1361.25,5000000.0
16500000.0,5.0,4,4,Park View City, Lahore,1361.25,3300000.0
91900000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4595000.0
39000000.0,10.0,6,5,Bahria Town, Lahore,2722.5,3900000.0
46500000.0,10.0,6,6,Central Park Housing Scheme, Lahore,2722.5,4650000.0
29500000.0,10.0,6,5,Bahria Town, Lahore,2722.5,2950000.0
16500000.0,3.0,4,3,Raiwind Road, Lahore,816.75,5500000.0
6800000.0,3.0,2,2,Multan Road, Lahore,816.75,2266666.6666666665
52500000.0,10.0,4,4,Paragon City, Lahore,2722.5,5250000.0
6500000.0,3.0,2,2,Jubilee Town, Lahore,816.75,2166666.6666666665
65000000.0,7.5,7,6,Johar Town, Lahore,2041.875,8666666.666666666
147500000.0,40.0,6,6,DHA Defence, Lahore,10890.0,3687500.0
51500000.0,10.0,5,4,DHA Defence, Lahore,2722.5,5150000.0
140000000.0,44.0,6,5,Johar Town, Lahore,11979.0,3181818.1818181816
124000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,6200000.0
285000000.0,40.0,7,7,DHA Defence, Lahore,10890.0,7125000.0
28000000.0,7.0,5,4,DHA Defence, Lahore,1905.75,4000000.0
43500000.0,8.0,5,4,DHA Defence, Lahore,2178.0,5437500.0
72500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3625000.0
95000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4750000.0
137500000.0,20.0,7,6,DHA Defence, Lahore,5445.0,6875000.0
75000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,3750000.0
325500000.0,40.0,7,6,DHA Defence, Lahore,10890.0,8137500.0
17500000.0,5.0,5,3,Bahria Town, Lahore,1361.25,3500000.0
19800000.0,4.5,4,4,Marghzar Officers Colony, Lahore,1225.125,4400000.0
37000000.0,10.0,6,5,Marghzar Officers Colony, Lahore,2722.5,3700000.0
45500000.0,10.0,6,4,DHA Defence, Lahore,2722.5,4550000.0
21500000.0,5.0,4,3,Central Park Housing Scheme, Lahore,1361.25,4300000.0
12500000.0,3.0,3,3,Raiwind Road, Lahore,816.75,4166666.6666666665
15000000.0,4.0,3,3,Military Accounts Housing Society, Lahore,1089.0,3750000.0
130000000.0,20.0,6,5,Johar Town, Lahore,5445.0,6500000.0
109500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,5475000.0
81500000.0,20.0,6,6,DHA Defence, Lahore,5445.0,4075000.0
53000000.0,10.0,6,5,Bahria Town, Lahore,2722.5,5300000.0
40000000.0,10.0,6,5,Bahria Town, Lahore,2722.5,4000000.0
41000000.0,11.0,6,5,Bahria Town, Lahore,2994.75,3727272.727272727
85000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4250000.0
89500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4475000.0
78600000.0,20.0,7,6,DHA Defence, Lahore,5445.0,3930000.0
82000000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4100000.0
130000000.0,40.0,6,5,DHA Defence, Lahore,10890.0,3250000.0
71500000.0,20.0,6,6,DHA Defence, Lahore,5445.0,3575000.0
42000000.0,10.0,5,5,Park View City, Lahore,2722.5,4200000.0
21800000.0,5.0,4,4,Park View City, Lahore,1361.25,4360000.0
45000000.0,10.0,6,5,Park View City, Lahore,2722.5,4500000.0
35000000.0,5.0,6,6,Johar Town, Lahore,1361.25,7000000.0
35000000.0,5.0,6,5,Johar Town, Lahore,1361.25,7000000.0
15000000.0,4.0,5,3,Batapur, Lahore,1089.0,3750000.0
24000000.0,5.0,6,5,GT Road, Lahore,1361.25,4800000.0
24000000.0,5.0,4,3,Central Park Housing Scheme, Lahore,1361.25,4800000.0
48000000.0,10.0,5,4,DHA Defence, Lahore,2722.5,4800000.0
90000000.0,20.0,7,5,DHA Defence, Lahore,5445.0,4500000.0
85000000.0,20.0,7,5,DHA Defence, Lahore,5445.0,4250000.0
17500000.0,2.7,2,2,Shadman, Lahore,735.075,6481481.481481481
87500000.0,20.0,6,5,DHA Defence, Lahore,5445.0,4375000.0
26000000.0,5.0,5,4,Central Park Housing Scheme, Lahore,1361.25,5200000.0
19000000.0,5.0,4,3,Bahria Town, Lahore,1361.25,3800000.0
30000000.0,10.0,6,5,Bahria Town, Lahore,2722.5,3000000.0
22000000.0,5.0,4,4,Central Park Housing Scheme, Lahore,1361.25,4400000.0
45300000.0,10.0,5,4,DHA Defence, Lahore,2722.5,4530000.0
